Milk (regular)  (1 liter),180.05ʴ
Loaf of Fresh White Bread (500g),180.65ʴ
Rice (white)  (1kg),570.59ʴ
Eggs (regular) (12),221.94ʴ
Local Cheese (1kg),"1,180.00ʴ"
Chicken Breasts (Boneless  Skinless)  (1kg),813.12ʴ
Beef Round (1kg) (or Equivalent Back Leg Red Meat),"2,446.67ʴ"
Apples (1kg),867.22ʴ
Banana (1kg),382.00ʴ
Oranges (1kg),636.36ʴ
Tomato (1kg),742.86ʴ
Potato (1kg),431.82ʴ
Onion (1kg),363.17ʴ
Lettuce (1 head),215.23ʴ
Water (1.5 liter bottle),129.94ʴ
Bottle of Wine (Mid-Range),"1,500.00ʴ"
Domestic Beer (0.5 liter bottle),250.73ʴ
Imported Beer (0.33 liter bottle),390.00ʴ
Cigarettes 20 Pack (Marlboro),450.00ʴ
